distractor,target,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,main_prac,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,fl_starter_back.started,fl_starter.started,fl_starter_text.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,exp_end_key.rt,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
positive,positive,2,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,37,11,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,positive,positive,1108.2013106999948,1108.2013106999948,1108.2013106999948,1108.2013106999948,1109.1845750999928,1109.2141221999918,j,j,1,0.6455971999967005,1109.8411358999874,1109.8411358999874,1109.8411358999874,1109.8411358999874,1109.8411358999874,1109.8411358999874,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,negative,1,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,38,0,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,negative,negative,1109.8411358999874,1109.8411358999874,1109.8411358999874,1109.8411358999874,1110.834688899995,1110.8650762999896,l,l,1,0.9714935000083642,1111.821020599993,1111.821020599993,1111.821020599993,1111.821020599993,1111.821020599993,1111.821020599993,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,positive,1,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,39,2,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,positive,positive,1111.821020599993,1111.821020599993,1111.821020599993,1111.821020599993,1112.8090404999966,1112.840619399998,j,j,1,0.7928816999919945,1113.6215774999873,1113.6215774999873,1113.6215774999873,1113.6215774999873,1113.6215774999873,1113.6215774999873,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
neutral,neutral,1,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,40,1,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,neutral,neutral,1113.6215774999873,1113.6215774999873,1113.6215774999873,1113.6215774999873,1114.615487899995,1114.6459519999917,k,k,1,0.8094746000133455,1115.4369043999905,1115.4369043999905,1115.4369043999905,1115.4369043999905,1115.4369043999905,1115.4369043999905,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,negative,1,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,41,6,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,positive,negative,1115.4369043999905,1115.4369043999905,1115.4369043999905,1115.4369043999905,1116.4338034999964,1116.464363799998,l,l,1,0.8039640000060899,1117.246418499999,1117.246418499999,1117.246418499999,1117.246418499999,1117.246418499999,1117.246418499999,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,negative,2,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,42,9,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,negative,negative,1117.246418499999,1117.246418499999,1117.246418499999,1117.246418499999,1118.2450481999986,1118.2758657999948,l,l,1,0.8476938000094378,1119.0980413999932,1119.0980413999932,1119.0980413999932,1119.0980413999932,1119.0980413999932,1119.0980413999932,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,neutral,2,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,43,13,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,positive,neutral,1119.0980413999932,1119.0980413999932,1119.0980413999932,1119.0980413999932,1120.090192699994,1120.1217387999932,k,k,1,0.8493942000059178,1120.9476891999948,1120.9476891999948,1120.9476891999948,1120.9476891999948,1120.9476891999948,1120.9476891999948,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,positive,2,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,44,14,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,negative,positive,1120.9476891999948,1120.9476891999948,1120.9476891999948,1120.9476891999948,1121.9228367999895,1121.9829876000003,j,j,1,0.7627775000000838,1122.7122804999963,1122.7122804999963,1122.7122804999963,1122.7122804999963,1122.7122804999963,1122.7122804999963,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,negative,2,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,45,15,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,positive,negative,1122.7122804999963,1122.7122804999963,1122.7122804999963,1122.7122804999963,1123.6902301999944,1123.7502113999944,l,l,1,0.9166430999903241,1124.6347738999903,1124.6347738999903,1124.6347738999903,1124.6347738999903,1124.6347738999903,1124.6347738999903,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,neutral,2,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,46,16,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,negative,neutral,1124.6347738999903,1124.6347738999903,1124.6347738999903,1124.6347738999903,1125.6342207999987,1125.6634407999954,k,k,1,0.718383300001733,1126.3590513999952,1126.3590513999952,1126.3590513999952,1126.3590513999952,1126.3590513999952,1126.3590513999952,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
neutral,neutral,2,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,47,10,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,neutral,neutral,1126.3590513999952,1126.3590513999952,1126.3590513999952,1126.3590513999952,1127.3479731999978,1127.379653099997,k,k,1,0.6679712999903131,1128.0309176999872,1128.0309176999872,1128.0309176999872,1128.0309176999872,1128.0309176999872,1128.0309176999872,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
neutral,positive,2,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,48,17,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,neutral,positive,1128.0309176999872,1128.0309176999872,1128.0309176999872,1128.0309176999872,1129.0255658999959,1129.0563896999956,j,j,1,0.684355699995649,1129.7155365999934,1129.7155365999934,1129.7155365999934,1129.7155365999934,1129.7155365999934,1129.7155365999934,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,positive,1,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,49,5,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,negative,positive,1129.7155365999934,1129.7155365999934,1129.7155365999934,1129.7155365999934,1130.6916636999958,1130.7538055999903,j,j,1,0.6854036000004271,1131.4025980000006,1131.4025980000006,1131.4025980000006,1131.4025980000006,1131.4025980000006,1131.4025980000006,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,neutral,1,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,50,4,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,positive,neutral,1131.4025980000006,1131.4025980000006,1131.4025980000006,1131.4025980000006,1132.4069500999904,1132.4379286999902,k,k,1,0.7915255000116304,1133.198221899991,1133.198221899991,1133.198221899991,1133.198221899991,1133.198221899991,1133.198221899991,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
neutral,negative,2,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,51,12,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,neutral,negative,1133.198221899991,1133.198221899991,1133.198221899991,1133.198221899991,1134.2034014999954,1134.2345319999877,l,l,1,0.8952417999971658,1135.1010452999908,1135.1010452999908,1135.1010452999908,1135.1010452999908,1135.1010452999908,1135.1010452999908,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
neutral,positive,1,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,52,8,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,neutral,positive,1135.1010452999908,1135.1010452999908,1135.1010452999908,1135.1010452999908,1136.0835291999974,1136.114885899995,j,j,1,0.8175058000051649,1136.922384599995,1136.922384599995,1136.922384599995,1136.922384599995,1136.922384599995,1136.922384599995,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
neutral,negative,1,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,53,3,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,neutral,negative,1136.922384599995,1136.922384599995,1136.922384599995,1136.922384599995,1137.898084299988,1137.9573021999968,l,l,1,0.762225500002387,1138.6895303999918,1138.6895303999918,1138.6895303999918,1138.6895303999918,1138.6895303999918,1138.6895303999918,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,negative,1,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,54,0,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,negative,negative,1138.6895303999918,1138.6895303999918,1138.6895303999918,1138.6895303999918,1139.6788197999995,1139.7174059999961,l,l,1,0.8347808999969857,1140.5296769999986,1140.5296769999986,1140.5296769999986,1140.5296769999986,1140.5296769999986,1140.5296769999986,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,positive,2,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,55,11,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,positive,positive,1140.5296769999986,1140.5296769999986,1140.5296769999986,1140.5296769999986,1141.5088277999894,1141.569684099988,j,j,1,0.9160285999969346,1142.4460178000008,1142.4460178000008,1142.4460178000008,1142.4460178000008,1142.4460178000008,1142.4460178000008,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,negative,2,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,56,9,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,negative,negative,1142.4460178000008,1142.4460178000008,1142.4460178000008,1142.4460178000008,1143.43615329999,1143.4680607999908,l,l,1,0.912749499999336,1144.3605606999918,1144.3605606999918,1144.3605606999918,1144.3605606999918,1144.3605606999918,1144.3605606999918,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,positive,1,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,57,2,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,positive,positive,1144.3605606999918,1144.3605606999918,1144.3605606999918,1144.3605606999918,1145.3558287999913,1145.391134999998,j,j,1,0.6714398000040092,1146.0341553999897,1146.0341553999897,1146.0341553999897,1146.0341553999897,1146.0341553999897,1146.0341553999897,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
neutral,positive,1,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,58,8,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,neutral,positive,1146.0341553999897,1146.0341553999897,1146.0341553999897,1146.0341553999897,1147.0071981999936,1147.0670895999938,j,j,1,0.7719425999966916,1147.8084037999943,1147.8084037999943,1147.8084037999943,1147.8084037999943,1147.8084037999943,1147.8084037999943,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,neutral,2,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,59,16,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,negative,neutral,1147.8084037999943,1147.8084037999943,1147.8084037999943,1147.8084037999943,1148.7916178999876,1148.823421299996,k,k,1,0.7689467999880435,1149.5831899999903,1149.5831899999903,1149.5831899999903,1149.5831899999903,1149.5831899999903,1149.5831899999903,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
neutral,neutral,1,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,60,1,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,neutral,neutral,1149.5831899999903,1149.5831899999903,1149.5831899999903,1149.5831899999903,1150.5767819999892,1150.6120123,k,k,1,0.7935582000063732,1151.3939047999884,1151.3939047999884,1151.3939047999884,1151.3939047999884,1151.3939047999884,1151.3939047999884,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,negative,1,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,61,6,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,positive,negative,1151.3939047999884,1151.3939047999884,1151.3939047999884,1151.3939047999884,1152.3771628999966,1152.4108238999906,l,l,1,0.8620561999996426,1153.2441304999957,1153.2441304999957,1153.2441304999957,1153.2441304999957,1153.2441304999957,1153.2441304999957,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
neutral,neutral,2,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,62,10,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,neutral,neutral,1153.2441304999957,1153.2441304999957,1153.2441304999957,1153.2441304999957,1154.224438499994,1154.284515899999,k,k,1,0.8811174000002211,1155.1281295999943,1155.1281295999943,1155.1281295999943,1155.1281295999943,1155.1281295999943,1155.1281295999943,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,positive,1,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,63,5,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,negative,positive,1155.1281295999943,1155.1281295999943,1155.1281295999943,1155.1281295999943,1156.125863399997,1156.1567686999915,j,j,1,0.9353393000055803,1157.0702395999979,1157.0702395999979,1157.0702395999979,1157.0702395999979,1157.0702395999979,1157.0702395999979,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,neutral,1,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,64,7,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,negative,neutral,1157.0702395999979,1157.0702395999979,1157.0702395999979,1157.0702395999979,1158.0392447999911,1158.0995591999963,k,k,1,0.7994428000092739,1158.8704481999885,1158.8704481999885,1158.8704481999885,1158.8704481999885,1158.8704481999885,1158.8704481999885,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,neutral,1,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,65,4,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,positive,neutral,1158.8704481999885,1158.8704481999885,1158.8704481999885,1158.8704481999885,1159.8608595999976,1159.8912012999936,k,k,1,0.7982419000036316,1160.676183699994,1160.676183699994,1160.676183699994,1160.676183699994,1160.676183699994,1160.676183699994,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,neutral,2,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,66,13,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,positive,neutral,1160.676183699994,1160.676183699994,1160.676183699994,1160.676183699994,1161.6465900999901,1161.7089509999932,k,k,1,1.7458080000069458,1163.4053238999913,1163.4053238999913,1163.4053238999913,1164.448947500001,1164.448947500001,1164.448947500001,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
neutral,negative,1,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,67,3,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,neutral,negative,1164.448947500001,1164.448947500001,1164.448947500001,1164.448947500001,1165.4437636999937,1165.4769820999936,l,l,1,0.8585137000045506,1166.3213549999928,1166.3213549999928,1166.3213549999928,1166.3213549999928,1166.3213549999928,1166.3213549999928,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,positive,2,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,68,14,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,negative,positive,1166.3213549999928,1166.3213549999928,1166.3213549999928,1166.3213549999928,1167.306766099995,1167.3391070999933,j,j,1,0.8198651000129757,1168.1447650999908,1168.1447650999908,1168.1447650999908,1168.1447650999908,1168.1447650999908,1168.1447650999908,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,negative,2,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,69,15,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,positive,negative,1168.1447650999908,1168.1447650999908,1168.1447650999908,1168.1447650999908,1169.1278258999955,1169.158793399998,l,l,1,0.9344832000060705,1170.0854551999946,1170.0854551999946,1170.0854551999946,1170.0854551999946,1170.0854551999946,1170.0854551999946,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
neutral,positive,2,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,70,17,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,neutral,positive,1170.0854551999946,1170.0854551999946,1170.0854551999946,1170.0854551999946,1171.0902968999872,1171.1202159999957,j,j,1,0.851576599990949,1171.9419275999971,1171.9419275999971,1171.9419275999971,1171.9419275999971,1171.9419275999971,1171.9419275999971,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
neutral,negative,2,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,71,12,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,neutral,negative,1171.9419275999971,1171.9419275999971,1171.9419275999971,1171.9419275999971,1172.9398449,1172.9765103999962,l,l,1,0.8675500999961514,1173.8132912,1173.8132912,1173.8132912,1173.8132912,1173.8132912,1173.8132912,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
neutral,negative,1,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,72,3,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,neutral,negative,1173.8132912,1173.8132912,1173.8132912,1173.8132912,1174.8107370999933,1174.840310200001,l,l,1,0.8039489999937359,1175.6140233999904,1175.6140233999904,1175.6140233999904,1175.6140233999904,1175.6140233999904,1175.6140233999904,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,negative,2,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,73,15,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,positive,negative,1175.6140233999904,1175.6140233999904,1175.6140233999904,1175.6140233999904,1176.6169253999979,1176.648089899987,l,l,1,0.8055018000013661,1177.4322351999872,1177.4322351999872,1177.4322351999872,1177.4322351999872,1177.4322351999872,1177.4322351999872,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,neutral,1,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,74,4,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,positive,neutral,1177.4322351999872,1177.4322351999872,1177.4322351999872,1177.4322351999872,1178.4156875999906,1178.4469677999878,k,k,1,0.8400368000002345,1179.2732220999897,1179.2732220999897,1179.2732220999897,1179.2732220999897,1179.2732220999897,1179.2732220999897,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,positive,2,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,75,14,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,negative,positive,1179.2732220999897,1179.2732220999897,1179.2732220999897,1179.2732220999897,1180.2554027000006,1180.3189156000008,j,j,1,0.8367867000051774,1181.1148078999977,1181.1148078999977,1181.1148078999977,1181.1148078999977,1181.1148078999977,1181.1148078999977,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,positive,2,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,76,11,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,positive,positive,1181.1148078999977,1181.1148078999977,1181.1148078999977,1181.1148078999977,1182.1119465999946,1182.1434660999948,j,j,1,0.7476059000036912,1182.863089999999,1182.863089999999,1182.863089999999,1182.863089999999,1182.863089999999,1182.863089999999,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,neutral,2,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,77,13,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,positive,neutral,1182.863089999999,1182.863089999999,1182.863089999999,1182.863089999999,1183.858993499991,1183.887891899998,k,k,1,0.8142764000076568,1184.6836961999943,1184.6836961999943,1184.6836961999943,1184.6836961999943,1184.6836961999943,1184.6836961999943,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,positive,1,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,78,2,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,positive,positive,1184.6836961999943,1184.6836961999943,1184.6836961999943,1184.6836961999943,1185.6702154999948,1185.6995292999927,j,j,1,0.8638646999897901,1186.546396299993,1186.546396299993,1186.546396299993,1186.546396299993,1186.546396299993,1186.546396299993,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
