target,distractor,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_starter_back.started,fl_starter.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,exp_end_key.rt,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,10,16,196,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,negative,607.2902402999998,607.2902402999998,607.2902402999998,607.2902402999998,608.2871163,608.3200445999996,j,j,1,0.8914019000003464,609.1827097999999,609.1827097999999,609.1827097999999,609.1827097999999,609.1827097999999,609.1827097999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,10,17,197,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,609.1827097999999,609.1827097999999,609.1827097999999,609.1827097999999,610.1679260999999,610.2037102999998,j,j,1,1.0130675000000338,611.2003351999997,611.2003351999997,611.2003351999997,611.2003351999997,611.2003351999997,611.2003351999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,11,0,198,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,neutral,611.2003351999997,611.2003351999997,611.2003351999997,611.2003351999997,612.1847771999996,612.2187835999998,k,k,1,0.718589300000076,612.9243228999999,612.9243228999999,612.9243228999999,612.9243228999999,612.9243228999999,612.9243228999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,11,1,199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,neutral,612.9243228999999,612.9243228999999,612.9243228999999,612.9243228999999,613.9147509,613.9558655999999,k,k,1,0.6660406999999395,614.5902160999999,614.5902160999999,614.5902160999999,614.5902160999999,614.5902160999999,614.5902160999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,11,2,200,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,negative,614.5902160999999,614.5902160999999,614.5902160999999,614.5902160999999,615.5784620999998,615.6158207999997,j,j,1,0.9619084999999359,616.5602360999997,616.5602360999997,616.5602360999997,616.5602360999997,616.5602360999997,616.5602360999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,11,3,201,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,neutral,616.5602360999997,616.5602360999997,616.5602360999997,616.5602360999997,617.5334140999998,617.6020918999998,k,k,1,0.7294210000000021,618.2882993999997,618.2882993999997,618.2882993999997,618.2882993999997,618.2882993999997,618.2882993999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,11,4,202,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,618.2882993999997,618.2882993999997,618.2882993999997,618.2882993999997,619.2700138999999,619.3353456,l,l,1,1.199197699999786,620.4920118,620.4920118,620.4920118,620.4920118,620.4920118,620.4920118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,11,5,203,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,positive,620.4920118,620.4920118,620.4920118,620.4920118,621.4756248999997,621.5078079999998,l,l,1,0.8642788000001929,622.3637983999997,622.3637983999997,622.3637983999997,622.3637983999997,622.3637983999997,622.3637983999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,11,6,204,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,negative,622.3637983999997,622.3637983999997,622.3637983999997,622.3637983999997,623.3346130999998,623.4007409999999,j,j,1,0.8071208999999726,624.1768524999998,624.1768524999998,624.1768524999998,624.1768524999998,624.1768524999998,624.1768524999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,11,7,205,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,positive,624.1768524999998,624.1768524999998,624.1768524999998,624.1768524999998,625.1495569999997,625.2149250999996,l,l,1,1.0970229999998082,626.2679417999998,626.2679417999998,626.2679417999998,626.2679417999998,626.2679417999998,626.2679417999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,11,8,206,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,neutral,626.2679417999998,626.2679417999998,626.2679417999998,626.2679417999998,627.2401701999997,627.3062692999997,k,k,1,0.7640416000003825,628.0385775999998,628.0385775999998,628.0385775999998,628.0385775999998,628.0385775999998,628.0385775999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,11,9,207,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,neutral,628.0385775999998,628.0385775999998,628.0385775999998,628.0385775999998,629.0221007,629.0555009999998,k,k,1,1.2904877000000852,630.3304914,630.3304914,630.3304914,630.3304914,630.3304914,630.3304914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,11,10,208,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,neutral,630.3304914,630.3304914,630.3304914,630.3304914,631.3065179999999,631.3719057999997,k,k,1,0.7764693999997689,632.1109094999997,632.1109094999997,632.1109094999997,632.1109094999997,632.1109094999997,632.1109094999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,11,11,209,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,negative,632.1109094999997,632.1109094999997,632.1109094999997,632.1109094999997,633.0905018999997,633.1558424999998,j,j,1,0.8665599999999358,633.9837935999999,633.9837935999999,633.9837935999999,633.9837935999999,633.9837935999999,633.9837935999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,11,12,210,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,negative,633.9837935999999,633.9837935999999,633.9837935999999,633.9837935999999,634.9875110999997,635.0206995999997,j,j,1,0.9473035000000891,635.9360738999999,635.9360738999999,635.9360738999999,635.9360738999999,635.9360738999999,635.9360738999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,11,13,211,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,635.9360738999999,635.9360738999999,635.9360738999999,635.9360738999999,636.9149158,636.988343,j,j,1,1.0339579000001322,637.9736389,637.9736389,637.9736389,637.9736389,637.9736389,637.9736389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,11,14,212,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,positive,637.9736389,637.9736389,637.9736389,637.9736389,638.9534764999999,639.0239429999997,l,l,1,1.384396200000083,640.3657009999997,640.3657009999997,640.3657009999997,640.3657009999997,640.3657009999997,640.3657009999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,11,15,213,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,negative,640.3657009999997,640.3657009999997,640.3657009999997,640.3657009999997,641.3510383999997,641.3844127999996,j,j,1,1.1424802000001364,642.5060055999998,642.5060055999998,642.5060055999998,642.5060055999998,642.5060055999998,642.5060055999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,11,16,214,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,positive,642.5060055999998,642.5060055999998,642.5060055999998,642.5060055999998,643.4960520999998,643.5289929999999,l,l,1,0.9735044999997626,644.4828854999996,644.4828854999996,644.4828854999996,644.4828854999996,644.4828854999996,644.4828854999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,11,17,215,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,positive,644.4828854999996,644.4828854999996,644.4828854999996,644.4828854999996,645.4625257999996,645.5315456999997,l,l,1,0.865051300000232,646.3532455,646.3532455,646.3532455,646.3532455,646.3532455,646.3532455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,12,0,216,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,646.3532455,646.3532455,646.3532455,646.3532455,647.3490041,647.3820562999999,k,k,1,0.9138843999999153,648.2720903999998,648.2720903999998,648.2720903999998,648.2720903999998,648.2720903999998,648.2720903999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,12,1,217,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,positive,648.2720903999998,648.2720903999998,648.2720903999998,648.2720903999998,649.2448769999996,649.3070877999999,l,l,1,0.8164443999999094,650.0899249999998,650.0899249999998,650.0899249999998,650.0899249999998,650.0899249999998,650.0899249999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,12,2,218,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,650.0899249999998,650.0899249999998,650.0899249999998,650.0899249999998,651.0788635999997,651.1110267999998,k,k,1,0.7362386999998307,651.8338629,651.8338629,651.8338629,651.8338629,651.8338629,651.8338629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,12,3,219,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,651.8338629,651.8338629,651.8338629,651.8338629,652.8257179999996,652.8597198999996,l,l,1,0.805499300000065,653.6382749999998,653.6382749999998,653.6382749999998,653.6382749999998,653.6382749999998,653.6382749999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,12,4,220,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,653.6382749999998,653.6382749999998,653.6382749999998,653.6382749999998,654.6163140999997,654.6809903999997,j,j,1,0.945741800000178,655.5885448999998,655.5885448999998,655.5885448999998,655.5885448999998,655.5885448999998,655.5885448999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,12,5,221,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,neutral,655.5885448999998,655.5885448999998,655.5885448999998,655.5885448999998,656.5595582999999,656.6263599999997,k,k,1,0.7509970999999496,657.3390852999996,657.3390852999996,657.3390852999996,657.3390852999996,657.3390852999996,657.3390852999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,12,6,222,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,positive,657.3390852999996,657.3390852999996,657.3390852999996,657.3390852999996,658.3434128999997,658.3776321,l,l,1,1.2203478999999788,659.5679756999998,659.5679756999998,659.5679756999998,659.5679756999998,659.5679756999998,659.5679756999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,12,7,223,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,negative,659.5679756999998,659.5679756999998,659.5679756999998,659.5679756999998,660.5439757999998,660.6123728999996,j,j,1,1.1074192999999468,661.6707118999998,661.6707118999998,661.6707118999998,661.6707118999998,661.6707118999998,661.6707118999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,12,8,224,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,neutral,661.6707118999998,661.6707118999998,661.6707118999998,661.6707118999998,662.6448063999997,662.7122296999996,k,k,1,0.8039573999999448,663.4826257999998,663.4826257999998,663.4826257999998,663.4826257999998,663.4826257999998,663.4826257999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,12,9,225,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,negative,663.4826257999998,663.4826257999998,663.4826257999998,663.4826257999998,664.4710987999997,664.5035539999999,j,j,1,1.0009116999999605,665.4833045999999,665.4833045999999,665.4833045999999,665.4833045999999,665.4833045999999,665.4833045999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,12,10,226,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,neutral,665.4833045999999,665.4833045999999,665.4833045999999,665.4833045999999,666.4775895999996,666.5118004999999,k,k,1,0.8155479000001833,667.3094713999999,667.3094713999999,667.3094713999999,667.3094713999999,667.3094713999999,667.3094713999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,12,11,227,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,667.3094713999999,667.3094713999999,667.3094713999999,667.3094713999999,668.3037538999997,668.3360966,j,j,1,0.9328622999996696,669.2401052,669.2401052,669.2401052,669.2401052,669.2401052,669.2401052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,12,12,228,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,669.2401052,669.2401052,669.2401052,669.2401052,670.2209627999996,670.2898329999998,j,j,1,1.3262643000002754,671.5729110999996,671.5729110999996,671.5729110999996,671.5729110999996,671.5729110999996,671.5729110999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,12,13,229,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,positive,671.5729110999996,671.5729110999996,671.5729110999996,671.5729110999996,672.5490403999997,672.6147668999997,l,l,1,0.9187824999999066,673.4881788999996,673.4881788999996,673.4881788999996,673.4881788999996,673.4881788999996,673.4881788999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,12,14,230,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,neutral,673.4881788999996,673.4881788999996,673.4881788999996,673.4881788999996,674.4940377999997,674.5271232,k,k,1,0.9551803999997901,675.4528828999996,675.4528828999996,675.4528828999996,675.4528828999996,675.4528828999996,675.4528828999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,12,15,231,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,675.4528828999996,675.4528828999996,675.4528828999996,675.4528828999996,676.4543816,676.4884239999997,l,l,1,1.087285200000224,677.5364968999997,677.5364968999997,677.5364968999997,677.5364968999997,677.5364968999997,677.5364968999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,12,16,232,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,positive,677.5364968999997,677.5364968999997,677.5364968999997,677.5364968999997,678.5259492,678.5596271999998,l,l,1,0.8355492999999115,679.3793044999998,679.3793044999998,679.3793044999998,679.3793044999998,679.3793044999998,679.3793044999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,12,17,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,negative,679.3793044999998,679.3793044999998,679.3793044999998,679.3793044999998,680.3487444999996,680.4176525999997,j,j,1,0.8649851999998646,681.2463316999997,681.2463316999997,681.2463316999997,681.2463316999997,681.2463316999997,681.2463316999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,13,0,234,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,681.2463316999997,681.2463316999997,681.2463316999997,681.2463316999997,682.2412644999999,682.2742171,k,k,1,0.7845194000001356,683.0325021999997,683.0325021999997,683.0325021999997,683.0325021999997,683.0325021999997,683.0325021999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,13,1,235,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,negative,683.0325021999997,683.0325021999997,683.0325021999997,683.0325021999997,684.0118843999999,684.0756984999998,j,j,1,1.1374645999999302,685.1759672999997,685.1759672999997,685.1759672999997,685.1759672999997,685.1759672999997,685.1759672999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,13,2,236,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,neutral,685.1759672999997,685.1759672999997,685.1759672999997,685.1759672999997,686.1636245999998,686.1959193999996,k,k,1,0.7935824999999568,686.9705553999997,686.9705553999997,686.9705553999997,686.9705553999997,686.9705553999997,686.9705553999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,13,3,237,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,positive,686.9705553999997,686.9705553999997,686.9705553999997,686.9705553999997,687.9515105,688.0195595999999,l,l,1,0.9185309999998026,688.8949088999998,688.8949088999998,688.8949088999998,688.8949088999998,688.8949088999998,688.8949088999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,13,4,238,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,688.8949088999998,688.8949088999998,688.8949088999998,688.8949088999998,689.8986691,689.9319335,l,l,1,1.3997977999997602,691.3025374999997,691.3025374999997,691.3025374999997,691.3025374999997,691.3025374999997,691.3025374999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,13,5,239,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,negative,691.3025374999997,691.3025374999997,691.3025374999997,691.3025374999997,692.2877181999997,692.3203128,j,j,1,1.0255090000000564,693.3286413999999,693.3286413999999,693.3286413999999,693.3286413999999,693.3286413999999,693.3286413999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
