distractor,target,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,main_prac,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,exp_end_key.rt,fl_starter_back.started,fl_starter.started,fl_starter_text.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,rest_text.stopped,rest_key.stopped,rest_inst_text.stopped,rest_time.stopped,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
negative,positive,1,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,33,5,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,negative,positive,1284.9172386999999,1284.9172386999999,1284.9172386999999,1284.9172386999999,1285.8985945999998,1285.9587861,j,j,1,2.1490319999998064,1288.043357,1288.043357,1288.043357,1289.0920575999999,1289.0920575999999,1289.0920575999999,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,negative,2,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,34,15,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,positive,negative,1289.0920575999999,1289.0920575999999,1289.0920575999999,1289.0920575999999,1290.0852614,1290.1171180000001,l,l,1,1.125908999999865,1291.2214242999999,1291.2214242999999,1291.2214242999999,1291.2214242999999,1291.2214242999999,1291.2214242999999,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
neutral,negative,1,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,35,3,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,neutral,negative,1291.2214242999999,1291.2214242999999,1291.2214242999999,1291.2214242999999,1292.2090231000002,1292.2429149,l,l,1,1.370071999999709,1293.6002138,1293.6002138,1293.6002138,1293.6002138,1293.6002138,1293.6002138,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,negative,1,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,36,0,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,negative,negative,1293.6002138,1293.6002138,1293.6002138,1293.6002138,1294.5795575000002,1294.6387888999998,l,l,1,1.2389275999998972,1295.8412506999998,1295.8412506999998,1295.8412506999998,1295.8412506999998,1295.8412506999998,1295.8412506999998,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
neutral,positive,1,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,37,8,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,neutral,positive,1295.8412506999998,1295.8412506999998,1295.8412506999998,1295.8412506999998,1296.8212505000001,1296.8804313,j,j,1,1.2486495000002833,1298.0939179000002,1298.0939179000002,1298.0939179000002,1298.0939179000002,1298.0939179000002,1298.0939179000002,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
neutral,neutral,1,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,38,1,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,neutral,neutral,1298.0939179000002,1298.0939179000002,1298.0939179000002,1298.0939179000002,1299.0766783999998,1299.1061995,k,k,1,0.9787209999999504,1300.0721786,1300.0721786,1300.0721786,1300.0721786,1300.0721786,1300.0721786,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,positive,1,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,39,5,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,negative,positive,1300.0721786,1300.0721786,1300.0721786,1300.0721786,1301.0545278,1301.1179462999999,j,j,1,1.310136500000226,1302.3854969,1302.3854969,1302.3854969,1302.3854969,1302.3854969,1302.3854969,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,negative,2,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,40,9,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,negative,negative,1302.3854969,1302.3854969,1302.3854969,1302.3854969,1303.3792991999999,1303.4085583,l,l,1,1.0076420999998845,1304.3950648,1304.3950648,1304.3950648,1304.3950648,1304.3950648,1304.3950648,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,positive,2,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,41,11,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,positive,positive,1304.3950648,1304.3950648,1304.3950648,1304.3950648,1305.3883402000001,1305.4242633,j,j,1,1.106381500000225,1306.5091367999999,1306.5091367999999,1306.5091367999999,1306.5091367999999,1306.5091367999999,1306.5091367999999,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
neutral,negative,2,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,42,12,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,neutral,negative,1306.5091367999999,1306.5091367999999,1306.5091367999999,1306.5091367999999,1307.4917340000002,1307.5576537000002,l,l,1,1.2080662999997003,1308.7201762999998,1308.7201762999998,1308.7201762999998,1308.7201762999998,1308.7201762999998,1308.7201762999998,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,neutral,2,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,43,16,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,negative,neutral,1308.7201762999998,1308.7201762999998,1308.7201762999998,1308.7201762999998,1309.7172248000002,1309.7478265,k,k,1,1.1137763000001542,1310.8364722000001,1310.8364722000001,1310.8364722000001,1310.8364722000001,1310.8364722000001,1310.8364722000001,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,neutral,1,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,44,4,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,positive,neutral,1310.8364722000001,1310.8364722000001,1310.8364722000001,1310.8364722000001,1311.8685133,1311.8685133,k,k,1,1.155116899999939,1312.9935980999999,1312.9935980999999,1312.9935980999999,1312.9935980999999,1312.9935980999999,1312.9935980999999,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,neutral,2,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,45,13,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,positive,neutral,1312.9935980999999,1312.9935980999999,1312.9935980999999,1312.9935980999999,1313.9688654000001,1314.0310055999998,k,k,1,1.0618795000000318,1315.0590034000002,1315.0590034000002,1315.0590034000002,1315.0590034000002,1315.0590034000002,1315.0590034000002,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
neutral,positive,2,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,46,17,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,neutral,positive,1315.0590034000002,1315.0590034000002,1315.0590034000002,1315.0590034000002,1316.0452977999998,1316.0752192,j,j,1,1.2695985000000292,1317.3343626,1317.3343626,1317.3343626,1317.3343626,1317.3343626,1317.3343626,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,negative,2,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,47,15,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,positive,negative,1317.3343626,1317.3343626,1317.3343626,1317.3343626,1318.3225361,1318.3533708,l,l,1,1.1713721999999507,1319.5119085000001,1319.5119085000001,1319.5119085000001,1319.5119085000001,1319.5119085000001,1319.5119085000001,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,positive,1,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,48,2,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,positive,positive,1319.5119085000001,1319.5119085000001,1319.5119085000001,1319.5119085000001,1320.5090959999998,1320.5401471,j,j,1,1.194075299999895,1321.7079942,1321.7079942,1321.7079942,1321.7079942,1321.7079942,1321.7079942,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,neutral,1,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,49,7,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,negative,neutral,1321.7079942,1321.7079942,1321.7079942,1321.7079942,1322.7022717999998,1322.7316277,k,k,1,1.075833800000055,1323.7862765999998,1323.7862765999998,1323.7862765999998,1323.7862765999998,1323.7862765999998,1323.7862765999998,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
neutral,neutral,2,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,50,10,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,neutral,neutral,1323.7862765999998,1323.7862765999998,1323.7862765999998,1323.7862765999998,1324.7901562000002,1324.8198423,k,k,1,0.9584540999999263,1325.7493536000002,1325.7493536000002,1325.7493536000002,1325.7493536000002,1325.7493536000002,1325.7493536000002,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
neutral,negative,1,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,51,3,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,neutral,negative,1325.7493536000002,1325.7493536000002,1325.7493536000002,1325.7493536000002,1326.7467708,1326.7773570999998,l,l,1,1.324890399999731,1328.077288,1328.077288,1328.077288,1328.077288,1328.077288,1328.077288,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,positive,2,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,52,14,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,negative,positive,1328.077288,1328.077288,1328.077288,1328.077288,1329.0491438,1329.109692,j,j,1,1.2206014000003051,1330.2984885,1330.2984885,1330.2984885,1330.2984885,1330.2984885,1330.2984885,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,negative,1,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,53,6,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,positive,negative,1330.2984885,1330.2984885,1330.2984885,1330.2984885,1331.2789867000001,1331.3377165000002,l,l,1,1.1578808000003846,1332.4609461999999,1332.4609461999999,1332.4609461999999,1332.4609461999999,1332.4609461999999,1332.4609461999999,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
neutral,neutral,1,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,54,1,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,neutral,neutral,1332.4609461999999,1332.4609461999999,1332.4609461999999,1332.4609461999999,1333.4481652,1333.4783014,k,k,1,1.180873000000247,1334.6481460999998,1334.6481460999998,1334.6481460999998,1334.6481460999998,1334.6481460999998,1334.6481460999998,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
neutral,neutral,2,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,55,10,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,neutral,neutral,1334.6481460999998,1334.6481460999998,1334.6481460999998,1334.6481460999998,1335.6243276,1335.6844489999999,k,k,1,1.3402446000000054,1336.9883644000001,1336.9883644000001,1336.9883644000001,1336.9883644000001,1336.9883644000001,1336.9883644000001,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,negative,2,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,56,9,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,negative,negative,1336.9883644000001,1336.9883644000001,1336.9883644000001,1336.9883644000001,1337.9808334999998,1338.0137347999998,l,l,1,1.2558564999999362,1339.2468554000002,1339.2468554000002,1339.2468554000002,1339.2468554000002,1339.2468554000002,1339.2468554000002,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,positive,1,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,57,2,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,positive,positive,1339.2468554000002,1339.2468554000002,1339.2468554000002,1339.2468554000002,1340.2294324,1340.2906739,j,j,1,1.0451226999998653,1341.2940284000001,1341.2940284000001,1341.2940284000001,1341.2940284000001,1341.2940284000001,1341.2940284000001,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,positive,2,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,58,14,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,negative,positive,1341.2940284000001,1341.2940284000001,1341.2940284000001,1341.2940284000001,1342.2933646000001,1342.3236716000001,j,j,1,1.3393824999998287,1343.6403074999998,1343.6403074999998,1343.6403074999998,1343.6403074999998,1343.6403074999998,1343.6403074999998,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,neutral,2,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,59,13,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,positive,neutral,1343.6403074999998,1343.6403074999998,1343.6403074999998,1343.6403074999998,1344.6136298000001,1344.6752612999999,k,k,1,1.1029223999998976,1345.7464332999998,1345.7464332999998,1345.7464332999998,1345.7464332999998,1345.7464332999998,1345.7464332999998,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
neutral,positive,1,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,60,8,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,neutral,positive,1345.7464332999998,1345.7464332999998,1345.7464332999998,1345.7464332999998,1346.7221169999998,1346.7827039,j,j,1,1.3417414000000463,1348.0890792999999,1348.0890792999999,1348.0890792999999,1348.0890792999999,1348.0890792999999,1348.0890792999999,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,neutral,2,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,61,16,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,negative,neutral,1348.0890792999999,1348.0890792999999,1348.0890792999999,1348.0890792999999,1349.0861636,1349.1171939,k,k,1,1.077641599999879,1350.1700713999999,1350.1700713999999,1350.1700713999999,1350.1700713999999,1350.1700713999999,1350.1700713999999,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
neutral,negative,1,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,62,3,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,neutral,negative,1350.1700713999999,1350.1700713999999,1350.1700713999999,1350.1700713999999,1351.1605682999998,1351.1908973999998,l,l,1,1.206648899999891,1352.3827367999997,1352.3827367999997,1352.3827367999997,1352.3827367999997,1352.3827367999997,1352.3827367999997,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,negative,2,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,63,15,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,positive,negative,1352.3827367999997,1352.3827367999997,1352.3827367999997,1352.3827367999997,1353.3600815999998,1353.4187241999998,l,l,1,2.102532500000052,1355.4644177,1355.4644177,1355.4644177,1356.4943174,1356.4943174,1356.4943174,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
neutral,positive,2,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,64,17,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,neutral,positive,1356.4943174,1356.4943174,1356.4943174,1356.4943174,1357.4707041000001,1357.5299246,j,j,1,1.285284099999899,1358.7846012999998,1358.7846012999998,1358.7846012999998,1358.7846012999998,1358.7846012999998,1358.7846012999998,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,neutral,1,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,65,7,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,negative,neutral,1358.7846012999998,1358.7846012999998,1358.7846012999998,1358.7846012999998,1359.77725,1359.8087716,k,k,1,1.0959568000002946,1360.8838772999998,1360.8838772999998,1360.8838772999998,1360.8838772999998,1360.8838772999998,1360.8838772999998,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,neutral,1,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,66,4,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,positive,neutral,1360.8838772999998,1360.8838772999998,1360.8838772999998,1360.8838772999998,1361.8680513999998,1361.8984953999998,k,k,1,1.8829513000000588,1363.7505434999998,1363.7505434999998,1363.7505434999998,1364.7895838999998,1364.7895838999998,1364.7895838999998,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,negative,1,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,67,0,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,negative,negative,1364.7895838999998,1364.7895838999998,1364.7895838999998,1364.7895838999998,1365.7812296000002,1365.8100719,l,l,1,1.6851897999999892,1367.4538496999999,1367.4538496999999,1367.4538496999999,1368.4883510999998,1368.4883510999998,1368.4883510999998,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
neutral,negative,2,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,68,12,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,neutral,negative,1368.4883510999998,1368.4883510999998,1368.4883510999998,1368.4883510999998,1369.4725695000002,1369.504566,l,l,1,1.2853613000002042,1370.7789377999998,1370.7789377999998,1370.7789377999998,1370.7789377999998,1370.7789377999998,1370.7789377999998,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,positive,1,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,69,5,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,negative,positive,1370.7789377999998,1370.7789377999998,1370.7789377999998,1370.7789377999998,1371.769167,1371.7993514999998,j,j,1,1.1008710000000974,1372.8820049,1372.8820049,1372.8820049,1372.8820049,1372.8820049,1372.8820049,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,negative,1,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,70,6,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,positive,negative,1372.8820049,1372.8820049,1372.8820049,1372.8820049,1373.8679008,1373.8991024000002,l,l,1,1.1211031999996521,1375.0083705000002,1375.0083705000002,1375.0083705000002,1375.0083705000002,1375.0083705000002,1375.0083705000002,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,positive,2,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,71,11,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,positive,positive,1375.0083705000002,1375.0083705000002,1375.0083705000002,1375.0083705000002,1376.0031008,1376.0316883,j,j,1,1.082430899999963,1377.0981575,1377.0981575,1377.0981575,1377.0981575,1377.0981575,1377.0981575,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,negative,2,j,l,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,72,9,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,negative,negative,1377.0981575,1377.0981575,1377.0981575,1377.0981575,1378.0759664000002,1378.1347283999999,l,l,1,1.0392362000002322,1379.1422939999998,1379.1422939999998,1379.1422939999998,1379.1422939999998,1379.1422939999998,1379.1422939999998,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,neutral,1,k,k,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,73,4,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,positive,neutral,1379.1422939999998,1379.1422939999998,1379.1422939999998,1379.1422939999998,1380.1123975,1380.1790348,k,k,1,0.9357199999999466,1381.0801046000001,1381.0801046000001,1381.0801046000001,1381.0801046000001,1381.0801046000001,1381.0801046000001,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,positive,2,l,j,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,74,11,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,positive,positive,1381.0801046000001,1381.0801046000001,1381.0801046000001,1381.0801046000001,1382.0685423,1382.0986414,j,j,1,1.0646738000000369,1383.1483637000001,1383.1483637000001,1383.1483637000001,1383.1483637000001,1383.1483637000001,1383.1483637000001,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
